waterfront,renovated,view,condition,grade,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,age,sqft_living15,sqft_lot15,yr_built,price
0,0,0,4,2,3,1,1120,10665,1,1120,0,59,1240,10639,1961,225000
0,0,0,3,3,1,1,1120,17332,1,1120,0,32,1280,17334,1988,166000
0,0,0,4,3,3,1,1140,9639,1,1140,0,53,1140,9639,1967,230000
0,0,0,3,3,3,1,1140,8800,1,1140,0,48,1270,13560,1972,172500
0,0,0,4,2,3,1,1150,19200,1,1150,0,112,1290,19200,1908,165000
0,0,0,4,2,3,1,1150,6480,1.5,1150,0,74,1100,7300,1946,171500
0,yes,0,4,2,3,1,1150,8000,1.5,1150,0,107,1170,9600,1913,168000
0,0,0,2,3,4,1,1220,8075,1,890,330,51,1290,7800,1969,240000
0,0,0,5,3,3,1,1220,9600,1,1220,0,62,1310,9600,1958,210500
0,0,0,4,3,3,1,1220,22443,1,1220,0,48,1260,19950,1972,201000
0,0,0,4,3,4,1,1220,11730,1,1220,0,60,1270,9520,1960,199000
0,0,0,3,3,3,1,1250,7280,1,1250,0,55,1450,7350,1965,221000
0,0,0,3,3,3,1,1250,7820,1,1250,0,53,1300,7920,1967,225000
0,0,0,5,2,2,1,1280,21750,1.5,1280,0,108,1520,21750,1912,170000
0,0,0,5,2,2,1,1300,44431,1,1300,0,62,1470,14850,1958,175000
0,0,0,3,3,3,1,1310,9554,1,960,350,58,1310,9845,1962,195000
0,0,0,3,3,3,1,1310,9612,1,960,350,58,1310,9812,1962,150000
0,0,0,3,3,3,1,1320,9000,1,1320,0,54,1320,9800,1966,196500
0,0,0,4,3,4,1,1340,7920,1,1340,0,50,1090,9600,1970,205000
0,0,0,4,3,3,1,1360,20000,1,1360,0,67,1530,9997,1953,159000
0,0,0,3,3,3,1,1370,10708,1,1370,0,51,1770,14482,1969,205000
0,0,0,4,2,3,1,1390,16000,1,1390,0,60,1420,10000,1960,230000
0,0,0,2,3,4,1,1440,9600,1,1440,0,56,1740,43560,1964,269950
0,0,0,3,3,3,1,1510,142803,1,1510,0,46,1330,46609,1974,299000
0,0,0,4,2,3,1,1510,17040,1,1510,0,45,1520,14000,1975,185000
0,0,0,4,3,3,1,1540,37950,1,1090,450,61,1820,24375,1959,429000
0,0,0,4,3,3,1,1580,7560,1,1000,580,44,1580,7560,1976,254999
0,0,0,3,2,4,1,1610,24000,1.5,1610,0,73,1270,9600,1947,235000
0,0,0,3,3,3,1,1660,7210,1,1100,560,57,1660,7245,1963,225000
0,0,0,4,3,3,1,1690,20063,1.5,1690,0,107,1700,15899,1913,240000
0,0,0,4,3,3,1,1710,12000,1,1710,0,48,1310,9600,1972,255000
0,0,0,3,3,2,1,1730,9610,1,1380,350,58,1310,9812,1962,200000
0,0,0,3,3,3,1,1730,7210,1,1430,300,57,1820,7210,1963,210000
0,0,0,4,2,2,1,1747,12250,2.5,1747,0,72,1620,10300,1948,267500
0,0,3,4,4,2,1,1780,81021,1,1780,0,66,1780,26723,1954,270000
0,0,0,4,2,3,1,1900,33888,1.5,1900,0,78,1430,19200,1942,239950
0,0,0,4,2,2,1,1960,186872,1.5,1960,0,84,1650,19200,1936,305000
0,0,0,4,3,3,1,1980,18730,1,1280,700,77,1356,9450,1943,207000
0,0,0,3,2,3,1.5,1000,18568,1,1000,0,31,1610,17420,1989,196000
0,0,0,3,3,3,1.5,1100,32700,1,1100,0,53,1616,32700,1967,194820
0,0,0,3,3,3,1.5,1100,33600,1,1100,0,53,1570,32700,1967,215000
0,0,0,3,3,3,1.5,1200,12000,1,1200,0,34,1200,9405,1986,219000
0,0,0,3,3,3,1.5,1220,7300,1,1220,0,47,1260,7347,1973,175000
0,0,0,3,3,3,1.5,1280,7742,1,1280,0,47,1566,7696,1973,165000
0,0,0,3,3,2,1.5,1320,73600,1,1320,0,27,1320,33600,1993,350000
0,0,0,4,3,3,1.5,1360,7488,1,1050,310,45,1580,7508,1975,238000
0,0,0,5,3,3,1.5,1370,9800,1,1370,0,52,1370,9800,1968,246900
0,0,0,3,3,4,1.5,1370,7904,1,900,470,50,1370,7900,1970,190848
0,0,0,3,3,3,1.5,1390,7417,1,1390,0,53,1390,7665,1967,162500
0,0,0,3,3,4,1.5,1400,8500,2,1400,0,45,1580,7650,1975,257000
0,0,0,3,3,3,1.5,1460,15000,1,1460,0,54,1510,15000,1966,232000
0,0,0,3,3,4,1.5,1540,7300,2,1540,0,47,1580,7650,1973,260000
0,0,0,4,3,4,1.5,1550,19800,1,1050,500,51,1640,22654,1969,252000
0,0,0,4,3,3,1.5,1560,7300,1,1040,520,56,1460,7910,1964,224000
0,0,0,4,3,4,1.5,1580,8468,2,1580,0,49,1580,8260,1971,265000
0,0,0,3,3,3,1.5,1580,14040,1,1050,530,40,2240,12000,1980,264500
0,0,0,4,3,3,1.5,1600,10548,1,1600,0,58,2880,13609,1962,220000
0,0,0,3,3,3,1.5,1660,15600,2,1660,0,39,1660,14400,1981,220000
0,0,0,5,3,3,1.5,1670,8230,1,1670,0,66,2077,4910,1954,227950
0,0,0,4,3,3,1.5,1780,10196,1,1270,510,53,1320,7875,1967,265000
0,0,0,4,3,3,1.5,1800,9216,1,1800,0,70,1400,10022,1950,237000
0,0,0,4,3,3,1.5,1810,14400,1,1810,0,66,1710,12000,1954,229500
0,0,0,3,4,3,1.5,1810,8232,1,1810,0,32,2260,8491,1988,300000
0,0,0,4,3,3,1.5,2030,14400,1,1310,720,51,1330,14400,1969,250000
0,0,0,3,3,4,1.5,2050,7100,1,1050,1000,57,1950,7350,1963,265000
0,0,0,4,3,4,1.5,2070,7245,1,1060,1010,56,1450,7350,1964,235000
0,yes,0,4,4,6,1.5,2140,36509,1.5,2140,0,117,1710,12000,1903,230000
0,0,0,4,2,2,1.75,870,18537,1,870,0,74,1300,22800,1946,199950
0,0,0,4,3,3,1.75,1140,9800,1,1140,0,52,1370,9800,1968,206000
0,0,0,4,2,3,1.75,1210,8075,1,1210,0,37,1310,8025,1983,215000
0,0,0,3,2,2,1.75,1220,15600,1,1220,0,48,1510,17818,1972,215500
0,0,0,4,3,3,1.75,1230,13056,1,1230,0,58,1690,15750,1962,175000
0,0,0,3,2,3,1.75,1230,12000,1,1230,0,50,1550,12000,1970,179900
0,0,0,4,3,3,1.75,1250,8084,1,1250,0,53,1340,7680,1967,209000
0,0,0,3,3,3,1.75,1290,8250,1,1290,0,37,1410,7823,1983,220000
0,0,0,3,3,3,1.75,1300,6318,1,1300,0,40,1150,8002,1980,198000
0,0,0,4,3,4,1.75,1300,21000,1,1300,0,51,2120,9920,1969,229950
0,0,0,3,3,3,1.75,1330,16000,1,1330,0,42,1330,14374,1978,180000
0,0,0,3,3,3,1.75,1330,9831,1,1330,0,33,1330,7500,1987,248000
0,0,0,3,3,3,1.75,1370,8006,2,1370,0,30,1530,8006,1990,160000
0,yes,0,4,2,3,1.75,1380,14000,1,1380,0,81,1490,18503,1939,249900
0,0,0,4,4,3,1.75,1440,11325,1,1440,0,54,1440,20000,1966,246000
0,0,0,4,3,3,1.75,1450,12125,1,1450,0,39,1210,12125,1981,243000
0,0,0,3,3,3,1.75,1470,8350,1,1470,0,30,1590,8182,1990,212000
0,0,0,4,3,3,1.75,1490,10125,1,1490,0,58,2488,4981,1962,184000
0,0,0,3,3,3,1.75,1510,9837,2,1510,0,31,1470,8054,1989,227000
0,0,0,4,3,3,1.75,1580,14400,1,1580,0,39,1480,9600,1981,225000
0,0,0,4,3,3,1.75,1610,7392,1,1610,0,56,1450,7392,1964,160000
0,yes,0,4,3,3,1.75,1620,37913,2,1620,0,67,2190,21518,1953,370000
0,0,0,3,3,3,1.75,1670,8511,1,1340,330,35,1580,7218,1985,260000
0,0,0,4,3,3,1.75,1690,7735,1,1060,630,44,1580,7503,1976,197000
0,0,0,4,4,3,1.75,1780,35233,1,1420,360,41,1950,17334,1979,250000
0,0,0,5,2,4,1.75,1790,12000,1,1790,0,76,1550,9840,1944,199900
0,0,0,3,3,5,1.75,1798,11232,1,1798,0,53,1300,15582,1967,199900
0,0,0,3,4,3,1.75,1840,16679,1,1840,0,31,1910,15571,1989,274950
0,0,0,3,3,4,1.75,1850,7350,1,1050,800,55,1450,7250,1965,270000
0,0,0,3,3,3,1.75,1880,11249,1,1330,550,35,1870,14547,1985,340000
0,0,0,5,3,4,1.75,1880,9600,1,1020,860,74,1560,14400,1946,240000
0,0,0,3,4,3,1.75,1880,30346,1,1880,0,32,2260,5883,1988,310000
0,0,0,4,3,4,1.75,1890,9623,1,1290,600,51,1510,9711,1969,314950
0,0,0,4,2,2,1.75,1894,52769,1.5,1520,374,84,1820,50529,1936,280000
0,0,0,4,4,3,1.75,1910,17003,1.5,1910,0,57,1820,14806,1963,175000
0,0,0,4,4,3,1.75,1910,17003,1.5,1910,0,57,1820,14806,1963,299000
0,0,0,3,3,3,1.75,1920,9306,1,1000,920,36,1860,8458,1984,245000
0,0,0,3,3,5,1.75,1950,8720,1,1050,900,58,1660,8030,1962,274000
0,0,0,4,3,2,1.75,2056,52333,1,1048,1008,40,2220,6458,1980,289000
0,0,0,5,2,3,1.75,2080,12522,1,2080,0,70,1690,11200,1950,249900
0,0,0,4,3,4,1.75,2080,7200,1,1050,1030,54,1500,7350,1966,198000
0,0,0,3,3,3,1.75,2100,15480,1,2100,0,37,1330,15657,1983,299000
0,0,0,4,3,3,1.75,2170,10018,1,1630,540,42,2049,15263,1978,260000
0,0,0,4,3,3,1.75,2180,9220,1,1090,1090,82,2050,22400,1938,389000
0,0,0,4,3,3,1.75,2240,9200,1,1440,800,52,1740,9600,1968,276000
0,0,3,5,3,3,1.75,2259,26831,1.5,1491,768,112,1980,15794,1908,262500
0,0,0,5,3,5,1.75,2320,7700,1,1290,1030,58,1740,7210,1962,250000
0,0,2,4,4,3,1.75,2320,55847,1,2320,0,60,2400,26112,1960,541500
0,0,0,3,3,4,1.75,2370,10140,1,1460,910,52,1450,7800,1968,305000
0,0,0,4,3,3,1.75,2710,9088,1,2060,650,55,1690,10454,1965,278000
0,0,0,4,4,3,1.75,3160,76230,1,2160,1000,42,1990,45789,1978,625000
0,0,0,4,3,3,2,1050,18304,1,1050,0,67,1690,15675,1953,169100
0,0,0,4,3,3,2,1050,18304,1,1050,0,67,1690,15675,1953,250000
0,0,0,4,3,1,2,1150,9812,1,1150,0,58,1200,9812,1962,115000
0,0,0,4,3,1,2,1150,9812,1,1150,0,58,1200,9812,1962,227000
0,0,0,3,3,3,2,1170,7258,1,1170,0,36,1410,7750,1984,250000
0,0,0,3,3,3,2,1200,9566,1,1200,0,25,1590,9518,1995,222400
0,0,0,3,2,4,2,1360,60548,1,960,400,60,1930,28800,1960,263400
0,0,0,3,3,3,2,1380,7476,1,1380,0,31,1600,7227,1989,272000
0,yes,0,2,3,3,2,1380,9000,2,1380,0,74,1460,9732,1946,215500
0,0,0,2,3,3,2,1390,8245,1,1390,0,36,1260,8245,1984,204900
0,0,0,3,3,3,2,1400,9177,1,1400,0,46,2020,8547,1974,233000
0,0,0,3,3,3,2,1410,8384,1,1410,0,35,1410,9205,1985,205000
0,0,0,3,3,3,2,1410,10248,1,1410,0,35,2090,9414,1985,271920
0,0,0,3,3,3,2,1430,10850,1,1430,0,26,1610,8015,1994,234950
0,0,0,3,3,3,2,1440,10111,1,1440,0,57,1580,10200,1963,210000
0,0,0,4,3,4,2,1440,10800,1,1440,0,53,1190,7380,1967,230000
0,0,0,3,3,3,2,1450,11204,1,1450,0,17,1520,9518,2003,230000
0,0,0,3,3,4,2,1450,7560,1,1450,0,53,1430,7560,1967,234950
0,0,0,4,3,3,2,1510,9153,1,1510,0,46,1780,9286,1974,234950
0,0,0,3,2,3,2,1560,7352,1,1560,0,28,1120,7950,1992,196440
0,0,0,4,3,3,2,1560,7000,1,1560,0,52,1560,7200,1968,226500
0,0,0,5,3,5,2,1590,9350,1,1060,530,58,1460,8210,1962,247000
0,0,0,3,3,3,2,1630,8018,1,1630,0,17,1610,8397,2003,260000
0,0,0,3,3,3,2,1660,13085,1,1010,650,35,1660,7778,1985,250000
0,0,0,3,3,4,2,1670,9987,1,1670,0,53,1640,7280,1967,204700
0,0,0,3,3,4,2,1720,7560,1,1720,0,61,1750,7988,1959,206000
0,0,0,3,4,3,2,1730,12821,1,1730,0,26,1980,11336,1994,313100
0,0,0,5,3,3,2,1760,9282,1,1100,660,73,1730,7500,1947,215000
0,0,0,3,3,3,2,1770,7000,1,1770,0,34,1510,10462,1986,241000
0,0,0,3,3,3,2,1790,7879,1.5,1790,0,22,1790,7879,1998,258000
0,0,0,3,4,3,2,1824,7120,1,1824,0,10,2409,6264,2010,375900
0,0,0,3,4,3,2,1850,9550,1,1850,0,32,2250,9550,1988,289000
0,0,0,4,2,4,2,1910,4225,1,910,1000,101,1060,4800,1919,189950
0,0,0,3,3,3,2,1936,6612,2,1936,0,6,1620,21600,2014,274900
0,0,0,4,3,3,2,2030,24829,1,1220,810,41,1980,15204,1979,225000
0,0,0,5,3,5,2,2080,16117,1,1740,340,61,1510,13068,1959,254000
0,0,0,4,3,4,2,2130,9579,1,1250,880,52,1590,9800,1968,233000
0,0,0,4,3,4,2,2190,14439,1,1180,1010,43,2160,14439,1977,280000
0,0,0,3,4,3,2,2250,7904,1.5,2250,0,22,2460,8622,1998,328000
0,0,0,3,3,4,2,2270,18450,1,2270,0,59,2150,18450,1961,375000
0,0,0,4,4,4,2,2370,76665,2,2370,0,42,2110,19334,1978,411000
0,0,0,5,4,4,2,2680,18768,1,2680,0,55,1230,15750,1965,360000
yes,0,4,3,4,3,2,2740,23505,2,2740,0,32,2800,16400,1988,535000
0,0,0,3,3,4,2.25,1500,5393,2,1500,0,21,1500,5952,1999,215000
0,0,0,3,3,4,2.25,1500,5393,2,1500,0,21,1700,5917,1999,210000
0,0,0,4,3,3,2.25,1560,8280,2,1560,0,41,1920,8120,1979,239950
0,0,0,3,3,3,2.25,1590,11745,1,1090,500,42,1540,12530,1978,190000
0,0,0,3,3,3,2.25,1630,10969,2,1630,0,29,1410,7920,1991,265000
0,0,0,3,3,4,2.25,1700,7056,2,1700,0,21,1650,6025,1999,269500
0,0,0,3,3,4,2.25,1730,8400,1,1730,0,58,1550,7920,1962,250000
0,0,0,4,3,3,2.25,1820,19602,1,1820,0,56,1520,8773,1964,277500
0,0,0,3,3,3,2.25,1830,4744,2,1830,0,23,1670,8001,1997,182500
0,0,0,3,3,3,2.25,1830,11331,1,1250,580,55,2240,16433,1965,230000
0,0,2,4,4,3,2.25,2060,47318,1,1600,460,44,1870,19663,1976,335000
0,0,0,3,3,3,2.25,2070,11576,2,2070,0,46,1890,7519,1974,196000
0,0,0,3,3,3,2.25,2100,8163,2,2100,0,36,1410,7515,1984,299900
0,0,0,3,4,3,2.25,2120,14915,1,1720,400,41,2320,13100,1979,332000
0,0,0,3,3,4,2.25,2190,9113,2,2190,0,34,1570,8306,1986,245000
0,0,0,3,3,3,2.25,2190,8834,1,1390,800,33,1490,8766,1987,194250
0,0,0,4,3,5,2.25,2320,6375,1,1270,1050,53,1760,7600,1967,260000
0,0,0,3,4,3,2.25,2520,78408,2,2520,0,32,1490,29972,1988,449888
0,0,0,3,3,4,2.25,2560,8927,1,1790,770,44,1920,9669,1976,303000
0,0,0,4,3,4,2.25,2710,22860,1,1850,860,58,1700,22860,1962,359000
yes,0,0,3,4,4,2.25,2810,25990,2,1860,950,61,2020,16140,1959,571500
0,0,0,3,4,5,2.25,3070,64033,1,2730,340,37,1560,28260,1983,420000
0,0,0,3,3,2,2.5,1150,2064,2,1150,0,16,1880,2855,2004,214100
0,0,0,3,4,4,2.5,1252,25002,1,992,260,24,1860,25002,1996,352000
0,0,0,3,3,3,2.5,1322,6006,2,1322,0,11,1440,6796,2009,215000
0,0,0,3,3,3,2.5,1550,4486,2,1550,0,20,1700,4487,2000,280000
0,0,0,4,3,3,2.5,1560,4800,2,1560,0,46,1510,12240,1974,239950
0,0,0,3,3,3,2.5,1570,9292,1,1110,460,43,1470,9222,1977,284200
0,0,0,3,3,3,2.5,1570,5113,1,1090,480,24,1570,5150,1996,256000
0,0,0,3,3,3,2.5,1580,8541,2,1580,0,30,1640,7542,1990,213550
0,0,0,3,3,3,2.5,1590,9736,2,1590,0,35,1580,7500,1985,285000
0,0,0,4,4,3,2.5,1600,9830,2,1600,0,27,1890,8910,1993,299950
0,0,0,3,3,3,2.5,1600,2231,2,1600,0,17,1600,2962,2003,214000
0,0,0,3,3,3,2.5,1600,4271,2,1600,0,20,1700,4746,2000,280000
0,0,0,3,4,3,2.5,1600,7982,2,1600,0,27,1890,9830,1993,315000
0,0,0,3,3,3,2.5,1600,6848,2,1600,0,20,1700,7210,2000,290000
0,0,0,3,3,4,2.5,1610,4568,2,1610,0,14,1834,4604,2006,292500
0,0,0,3,3,4,2.5,1660,6724,2,1660,0,11,1544,6054,2009,255000
0,0,0,3,3,4,2.5,1700,4268,2,1700,0,20,1700,4488,2000,245000
0,0,0,3,3,3,2.5,1720,6847,2,1720,0,33,1610,7790,1987,263000
0,0,0,3,3,3,2.5,1740,10050,2,1740,0,31,1300,10125,1989,225000
0,0,0,3,3,4,2.5,1740,7895,2,1740,0,21,1720,6813,1999,302000
0,0,0,3,3,3,2.5,1750,6351,2,1750,0,8,1398,6092,2012,250000
0,0,0,3,4,4,2.5,1767,4500,2,1767,0,14,1949,4636,2006,205000
0,0,0,3,3,3,2.5,1770,8640,1,1420,350,34,1894,7974,1986,270000
0,0,0,3,4,3,2.5,1770,9450,1,1770,0,32,2200,8582,1988,289950
0,0,0,3,3,3,2.5,1794,4769,2,1794,0,15,3557,4807,2005,254950
0,0,0,3,4,3,2.5,1808,19200,1,1808,0,15,1450,14400,2005,270000
0,0,0,3,3,4,2.5,1820,8217,1,1120,700,33,1310,8217,1987,234000
0,0,0,3,3,3,2.5,1830,4997,2,1830,0,16,2488,4998,2004,286651
0,0,0,3,3,4,2.5,1840,13493,2,1840,0,26,1430,11463,1994,190000
0,0,0,3,3,4,2.5,1847,8000,2,1847,0,12,1847,8000,2008,215000
0,0,0,3,3,4,2.5,1847,8000,2,1847,0,12,1767,8000,2008,216000
0,0,0,3,3,3,2.5,1870,7942,2,1870,0,30,1870,7392,1990,299950
0,0,0,3,3,4,2.5,1889,6000,2,1889,0,8,1990,6350,2012,277950
0,0,0,3,4,4,2.5,1912,5000,2,1912,0,8,2020,5000,2012,353000
0,0,0,3,3,4,2.5,1921,4888,2,1921,0,11,1921,9140,2009,245000
0,0,0,3,3,4,2.5,1930,8660,1,1120,810,39,1830,9591,1981,250600
0,0,0,3,4,3,2.5,1930,4000,2,1930,0,6,2050,4000,2014,345500
0,0,0,3,4,4,2.5,1934,5677,2,1934,0,7,1919,5049,2013,280000
0,0,0,3,3,3,2.5,1940,10350,1,1420,520,41,1810,7800,1979,295000
0,0,0,3,3,3,2.5,1950,8251,2,1950,0,30,1540,8588,1990,287600
0,0,0,3,4,4,2.5,1954,5075,2,1954,0,13,1934,5000,2007,235245
0,0,0,3,3,4,2.5,1960,7875,1,1220,740,42,2030,7650,1978,234500
0,0,0,3,3,3,2.5,1970,9607,2,1090,880,32,2020,9608,1988,289000
0,0,0,3,3,4,2.5,1987,6000,2,1987,0,9,1880,9589,2011,255000
0,0,0,4,3,4,2.5,2000,13300,1,1200,800,52,1800,9810,1968,290000
0,0,0,3,3,3,2.5,2014,4500,2,2014,0,15,2014,4500,2005,321000
0,0,0,3,3,4,2.5,2020,6236,2,2020,0,18,1940,5076,2002,262000
0,0,0,3,3,5,2.5,2025,7760,2,2025,0,13,1664,9000,2007,260000
0,0,0,3,4,4,2.5,2030,4596,2,2030,0,6,2040,4705,2014,349500
0,0,0,3,2,4,2.5,2060,16000,2,2060,0,27,1530,8000,1993,286000
0,0,0,4,3,4,2.5,2068,7242,2,2068,0,44,1560,7524,1976,276000
0,0,0,3,3,4,2.5,2080,9846,1,1240,840,36,1890,7977,1984,286950
0,0,0,5,3,3,2.5,2120,22482,1,1360,760,41,2330,16016,1979,329500
0,0,0,3,3,4,2.5,2130,4496,2,2130,0,16,3220,5400,2004,215000
0,0,0,3,4,4,2.5,2130,9013,2,2130,0,32,2350,8982,1988,310000
0,0,0,3,4,3,2.5,2153,4400,2,2153,0,13,2434,4400,2007,259000
0,0,0,3,4,4,2.5,2160,9528,2,2160,0,28,2280,9937,1992,360000
0,0,0,3,4,4,2.5,2160,8049,2,2160,0,32,2490,8995,1988,317000
0,0,0,3,3,4,2.5,2160,8005,2,2160,0,27,1790,8016,1993,220000
0,0,0,3,3,4,2.5,2163,5882,2,2163,0,14,1760,9600,2006,255000
0,0,0,3,4,4,2.5,2181,5521,2,2181,0,14,2333,5143,2006,340000
0,0,0,3,4,4,2.5,2200,9397,2,2200,0,33,2310,9176,1987,285000
0,0,0,3,3,3,2.5,2217,8019,2,2217,0,11,1470,8037,2009,275000
0,0,0,3,4,3,2.5,2220,20531,2,2220,0,22,2420,19249,1998,382450
0,0,0,3,3,4,2.5,2233,6025,2,2233,0,8,1544,6036,2012,317500
0,0,0,3,3,4,2.5,2240,4648,2,2240,0,15,2221,4557,2005,287000
0,0,2,3,3,4,2.5,2240,6944,1,1310,930,41,1780,7477,1979,287500
0,0,0,3,4,4,2.5,2240,4800,2,2240,0,6,2240,5040,2014,331210
0,0,0,3,3,3,2.5,2244,4079,2,2244,0,8,2077,4078,2012,269950
0,0,0,3,3,4,2.5,2250,9091,1,1340,910,38,1540,7802,1982,305000
0,0,0,3,4,3,2.5,2280,7417,2,2280,0,22,2370,6443,1998,320000
0,0,0,3,4,4,2.5,2301,6452,2,2301,0,10,2650,6054,2010,375500
0,0,0,3,4,4,2.5,2303,3680,2,2303,0,7,2303,3760,2013,329995
0,0,0,4,3,4,2.5,2360,7350,1,1440,920,55,1450,7305,1965,285000
0,0,0,3,4,3,2.5,2380,9719,2,2380,0,19,2830,11505,2001,299999
0,0,0,3,4,4,2.5,2390,7056,2,2390,0,30,2590,7801,1990,360000
0,0,0,3,4,4,2.5,2400,6078,2,2400,0,19,2406,7642,2001,299000
0,0,0,3,4,4,2.5,2400,4596,2,2400,0,16,2230,4763,2004,280000
0,0,0,3,4,5,2.5,2406,7093,2,2406,0,14,1767,7093,2006,270500
0,0,0,3,4,4,2.5,2425,9017,2,2425,0,7,2725,7019,2013,447500
0,0,2,3,4,3,2.5,2432,9391,2,2432,0,15,2912,8932,2005,427000
0,0,0,3,4,4,2.5,2434,4400,2,2434,0,13,2434,4400,2007,285000
0,0,0,3,4,4,2.5,2480,8626,2,2480,0,19,2990,9033,2001,420000
0,0,0,3,4,3,2.5,2495,4400,2,2495,0,13,2434,4400,2007,267000
0,0,0,3,4,3,2.5,2495,4400,2,2495,0,13,2434,4400,2007,276000
0,0,0,3,4,3,2.5,2497,4400,2,2497,0,13,2434,4400,2007,275000
0,0,0,3,4,4,2.5,2502,8306,2,2502,0,7,2597,6983,2013,453000
0,0,0,3,4,3,2.5,2507,18400,2,2507,0,14,1520,14709,2006,551870
0,0,0,3,4,4,2.5,2550,7555,2,2550,0,19,2550,6800,2001,340000
0,0,0,3,4,4,2.5,2575,4725,2,2575,0,9,2575,5323,2011,359000
0,0,0,3,4,3,2.5,2594,4455,2,2594,0,8,2981,4950,2012,351000
0,0,0,3,4,4,2.5,2600,8572,2,2600,0,17,2170,5288,2003,300000
0,0,0,3,4,4,2.5,2610,4781,2,2610,0,11,2583,4796,2009,335000
0,0,0,3,4,4,2.5,2620,5457,2,2620,0,17,2740,5816,2003,321500
0,0,0,3,4,4,2.5,2628,11466,2,2628,0,6,2849,10909,2014,499160
0,0,0,3,4,4,2.5,2632,4117,2,2632,0,7,2040,5195,2013,349950
0,0,0,3,4,4,2.5,2650,9301,2,2650,0,19,2730,8688,2001,429000
0,0,0,3,4,3,2.5,2650,12247,2,2650,0,18,2920,8965,2002,425000
0,0,0,3,4,4,2.5,2650,8685,2,2650,0,14,2650,7932,2006,424000
0,0,0,3,4,3,2.5,2714,17936,2,2714,0,15,2590,18386,2005,465000
0,0,0,3,4,4,2.5,2717,4513,2,2717,0,15,2550,4841,2005,338500
0,0,0,3,4,3,2.5,2720,40813,2,2720,0,19,2250,40511,2001,460000
0,0,0,4,3,4,2.5,2770,7000,1,1940,830,41,2140,7684,1979,355000
0,0,0,4,4,5,2.5,2780,9652,1,1390,1390,53,1790,9652,1967,290000
0,0,0,3,3,4,2.5,2789,3960,2,2789,0,13,2547,3960,2007,272000
0,0,0,3,4,4,2.5,2820,6983,2,2820,0,7,2597,7222,2013,457000
0,0,0,3,4,5,2.5,2840,6010,2,2840,0,17,2740,5509,2003,372000
0,0,0,3,4,4,2.5,2846,85377,1.5,1976,870,20,1696,57934,2000,482000
0,0,0,3,4,4,2.5,2891,6499,2,2891,0,6,2550,8383,2014,415000
0,0,0,3,4,4,2.5,2900,6918,2,2900,0,19,2720,10376,2001,339000
0,0,0,3,4,4,2.5,2940,9172,2,2940,0,14,2660,7955,2006,480000
0,0,0,3,4,4,2.5,3030,9500,2,3030,0,31,2650,9500,1989,367950
0,0,0,3,4,4,2.5,3056,11385,2,3056,0,6,2849,8607,2014,524225
0,0,2,3,4,4,2.5,3118,7866,2,3118,0,6,2673,6500,2014,541800
0,0,2,3,4,4,2.5,3170,10688,2,3170,0,19,3100,12610,2001,455000
0,0,3,3,4,4,2.5,3230,16171,2,2520,710,19,2640,8517,2001,480000
yes,0,0,3,4,4,2.5,3380,75794,2,3380,0,23,3710,17913,1997,639900
0,0,0,3,4,3,2.5,3430,48993,2,3430,0,19,2460,36256,2001,515000
